"filename", "language", "C++", "SVG", "qml", "CMake", "Markdown", "JSON", "QML", "Qrc", "XML", "comment", "blank", "total"
"e:\WYH\RailwaySystem\qml\components\MyCheckBox.qml", "QML", 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, -8, -59
"e:\WYH\RailwaySystem\qml\components\OrderCard.qml", "QML", 0, 0, 0, 0, 0, 0, -280, 0, 0, -26, -38, -344
"e:\WYH\RailwaySystem\qml\components\PassengerCard.qml", "QML", 0, 0, 0, 0, 0, 0, -112, 0, 0, -16, -24, -152
"e:\WYH\RailwaySystem\qml\components\SearchBar.qml", "QML", 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, -6, -50
"e:\WYH\RailwaySystem\qml\components\SelectButton.qml", "QML", 0, 0, 0, 0, 0, 0, -62, 0, 0, -6, -11, -79
"e:\WYH\RailwaySystem\qml\components\SideBar.qml", "QML", 0, 0, 0, 0, 0, 0, -96, 0, 0, -2, -12, -110
"e:\WYH\RailwaySystem\qml\components\StationListView.qml", "QML", 0, 0, 0, 0, 0, 0, -165, 0, 0, -22, -29, -216
"e:\WYH\RailwaySystem\qml\components\TicketCard.qml", "QML", 0, 0, 0, 0, 0, 0, -342, 0, 0, -28, -27, -397
"e:\WYH\RailwaySystem\qml\components\TimetableView.qml", "QML", 0, 0, 0, 0, 0, 0, -221, 0, 0, -36, -36, -293
"e:\WYH\RailwaySystem\qml\components\TrainCard.qml", "QML", 0, 0, 0, 0, 0, 0, -120, 0, 0, -2, -16, -138
"e:\WYH\RailwaySystem\qml\components\test.qml", "QML", 0, 0, 0, 0, 0, 0, -59, 0, 0, -4, -6, -69
"e:\WYH\RailwaySystem\qml\main.qml", "QML", 0, 0, 0, 0, 0, 0, -83, 0, 0, -7, -11, -101
"e:\WYH\RailwaySystem\qml\pages\AddPassengerDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -173, 0, 0, -13, -16, -202
"e:\WYH\RailwaySystem\qml\pages\AddPassingStationDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -187, 0, 0, -19, -28, -234
"e:\WYH\RailwaySystem\qml\pages\AddUserDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -143, 0, 0, -10, -17, -170
"e:\WYH\RailwaySystem\qml\pages\EditPassengerInfoDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -192, 0, 0, -9, -17, -218
"e:\WYH\RailwaySystem\qml\pages\EditPassingStationDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -187, 0, 0, -19, -28, -234
"e:\WYH\RailwaySystem\qml\pages\EditSeatTemplateDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -428, 0, 0, -15, -49, -492
"e:\WYH\RailwaySystem\qml\pages\Login.qml", "QML", 0, 0, 0, 0, 0, 0, -184, 0, 0, -11, -17, -212
"e:\WYH\RailwaySystem\qml\pages\MyOrders.qml", "QML", 0, 0, 0, 0, 0, 0, -249, 0, 0, -23, -26, -298
"e:\WYH\RailwaySystem\qml\pages\OrderConfirm.qml", "QML", 0, 0, 0, 0, 0, 0, -365, 0, 0, -37, -51, -453
"e:\WYH\RailwaySystem\qml\pages\OrderManagement.qml", "QML", 0, 0, 0, 0, 0, 0, -250, 0, 0, -23, -26, -299
"e:\WYH\RailwaySystem\qml\pages\PassengerInfo.qml", "QML", 0, 0, 0, 0, 0, 0, -265, 0, 0, -19, -26, -310
"e:\WYH\RailwaySystem\qml\pages\PersonalInfoDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -165, 0, 0, -9, -15, -189
"e:\WYH\RailwaySystem\qml\pages\Profile.qml", "QML", 0, 0, 0, 0, 0, 0, -275, 0, 0, -21, -27, -323
"e:\WYH\RailwaySystem\qml\pages\RegisterDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -252, 0, 0, -403, -63, -718
"e:\WYH\RailwaySystem\qml\pages\ResetPasswordDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -124, 0, 0, -9, -15, -148
"e:\WYH\RailwaySystem\qml\pages\StationListDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -104, 0, 0, -7, -20, -131
"e:\WYH\RailwaySystem\qml\pages\SubmitOrderDialog.qml", "QML", 0, 0, 0, 0, 0, 0, -144, 0, 0, -30, -21, -195
"e:\WYH\RailwaySystem\qml\pages\TicketQuery.qml", "QML", 0, 0, 0, 0, 0, 0, -319, 0, 0, -20, -48, -387
"e:\WYH\RailwaySystem\qml\pages\TicketQueryResult.qml", "QML", 0, 0, 0, 0, 0, 0, -444, 0, 0, -70, -52, -566
"e:\WYH\RailwaySystem\qml\pages\Timetable.qml", "QML", 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -5, -29
"e:\WYH\RailwaySystem\qml\pages\TimetableManagement.qml", "QML", 0, 0, 0, 0, 0, 0, -116, 0, 0, -9, -18, -143
