Date : 2025-11-28 23:37:53
Directory : d:\study\train\RailwaySystem
Total : 174 files,  916 codes, 131 comments, 123 blanks, all 1170 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\WYH\RailwaySystem\qml\pages\ResetPasswordDialog.qml                          | QML      |       -124 |         -9 |        -15 |       -148 |
| e:\WYH\RailwaySystem\qml\pages\StationListDialog.qml                            | QML      |       -104 |         -7 |        -20 |       -131 |
| e:\WYH\RailwaySystem\qml\pages\SubmitOrderDialog.qml                            | QML      |       -144 |        -30 |        -21 |       -195 |
| e:\WYH\RailwaySystem\qml\pages\TicketQuery.qml                                  | QML      |       -319 |        -20 |        -48 |       -387 |
| e:\WYH\RailwaySystem\qml\pages\TicketQueryResult.qml                            | QML      |       -444 |        -70 |        -52 |       -566 |
| e:\WYH\RailwaySystem\qml\pages\Timetable.qml                                    | QML      |        -24 |          0 |         -5 |        -29 |
| e:\WYH\RailwaySystem\qml\pages\TimetableManagement.qml                          | QML      |       -116 |         -9 |        -18 |       -143 |
| e:\WYH\RailwaySystem\qml\pages\TrainManagement.qml                              | QML      |       -243 |        -19 |        -31 |       -293 |
| e:\WYH\RailwaySystem\qml\pages\UserManagement.qml                               | QML      |       -236 |        -14 |        -34 |       -284 |
| e:\WYH\RailwaySystem\resources\icon\arrow.svg                                   | XML      |        -48 |          0 |         -1 |        -49 |
| e:\WYH\RailwaySystem\station.cpp                                                | C++      |        -37 |          0 |        -11 |        -48 |
| e:\WYH\RailwaySystem\station.h                                                  | C++      |        -22 |          0 |         -6 |        -28 |
| e:\WYH\RailwaySystem\stationmanager.cpp                                         | C++      |        -66 |          0 |        -12 |        -78 |
| e:\WYH\RailwaySystem\stationmanager.h                                           | C++      |        -24 |          0 |         -6 |        -30 |
| e:\WYH\RailwaySystem\time.cpp                                                   | C++      |        -83 |          0 |        -18 |       -101 |
| e:\WYH\RailwaySystem\time.h                                                     | C++      |        -28 |          0 |         -6 |        -34 |
| e:\WYH\RailwaySystem\timetable.cpp                                              | C++      |       -189 |          0 |        -17 |       -206 |
| e:\WYH\RailwaySystem\timetable.h                                                | C++      |        -28 |         -9 |         -6 |        -43 |
| e:\WYH\RailwaySystem\tmp.qml                                                    | QML      |       -212 |        -30 |        -41 |       -283 |
| e:\WYH\RailwaySystem\train.cpp                                                  | C++      |        -82 |          0 |        -13 |        -95 |
| e:\WYH\RailwaySystem\train.h                                                    | C++      |        -26 |          0 |         -7 |        -33 |
| e:\WYH\RailwaySystem\trainmanager.cpp                                           | C++      |       -146 |          0 |        -15 |       -161 |
| e:\WYH\RailwaySystem\trainmanager.h                                             | C++      |        -27 |         -2 |         -8 |        -37 |
| e:\WYH\RailwaySystem\user.cpp                                                   | C++      |        -67 |          0 |        -16 |        -83 |
| e:\WYH\RailwaySystem\user.h                                                     | C++      |        -29 |          0 |         -6 |        -35 |
| e:\WYH\RailwaySystem\userprofile.cpp                                            | C++      |        -49 |          0 |        -13 |        -62 |
| e:\WYH\RailwaySystem\userprofile.h                                              | C++      |        -26 |          0 |         -6 |        -32 |
| Total                                                                           |          |        916 |        131 |        123 |      1,170 |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
